"Albion Street North","Albion Street South","Briggate","Briggate at McDonalds","Commercial Street at Barratts","Commercial Street at Lush","Dortmund Square","Headrow"
156,203,305,321,163,265,299,192
152,160,296,222,132,138,193,178
94,153,345,288,106,144,149,236
91,122,130,121,75,89,120,106
34,61,177,119,30,63,150,77
24,73,230,75,59,32,111,44
1,27,194,29,76,48,63,31
22,27,84,28,49,32,37,10
0,11,71,20,32,41,42,6
2,14,47,19,5,8,37,9
0,3,60,14,4,12,20,4
10,35,27,35,79,155,28,21
52,163,156,117,123,282,105,50
286,255,257,222,275,785,349,135
791,837,451,440,974,1698,759,354
637,821,593,607,783,1470,1074,459
899,1306,796,991,1442,2252,1814,847
1565,1763,1161,1348,2105,3537,2596,1134
3536,5748,2993,2094,4102,7414,3768,2039
3682,8163,5153,2116,4409,8113,3869,2217
2362,3754,3840,1605,3163,5521,2684,1790
1928,2511,3304,1449,2799,4927,2794,1755
1065,1999,2554,1248,2124,4764,2522,1537
146,1279,1637,1084,2387,3217,2035,992
206,488,837,692,909,651,950,419
195,253,319,430,245,360,433,524
146,164,327,263,167,237,300,172
92,123,242,259,123,142,656,140
76,132,258,215,148,90,615,166
56,69,252,103,129,123,111,97
18,103,144,39,121,51,37,24
0,37,62,20,68,57,40,9
1,37,66,29,42,7,38,7
28,32,40,8,6,5,63,8
0,3,35,22,19,36,18,4
16,89,49,32,75,86,19,18
62,154,148,79,193,134,98,44
244,232,223,253,335,624,270,209
840,736,364,462,722,1591,633,481
752,909,646,668,832,1535,932,481
992,1603,882,1116,1500,2194,1563,827
1621,2631,1554,1730,2317,3242,2338,1425
3216,5672,3105,2294,3477,7010,3166,2104
3442,7226,3911,2308,3809,7413,3108,2429
2480,3877,2877,1955,3106,4693,2385,1917
1993,2717,2762,1524,2817,4229,2087,1623
1937,2933,2168,1515,2176,4161,1979,1343
1148,2402,1551,1362,1466,2643,1593,955
527,814,980,639,537,892,846,430
219,258,325,364,266,328,427,268
157,164,285,174,239,219,297,179
88,138,126,158,194,124,577,84
100,205,154,138,105,64,545,91
21,117,113,83,98,64,141,76
4,31,149,45,84,44,70,54
9,31,74,25,20,12,56,18
4,62,55,34,46,4,55,16
32,19,62,22,19,0,54,17
0,4,41,15,6,8,23,4
13,47,90,24,99,110,20,26
65,164,118,70,88,185,98,61
277,286,242,207,263,546,263,143
856,952,491,459,784,1318,568,335
698,888,656,574,1078,1247,725,505
800,1333,745,1010,1739,1963,994,821
1523,2269,1139,1403,2086,2715,1654,1270
2991,4903,2271,1838,4169,5476,2707,2034
3289,5836,3196,1606,4166,6175,2919,2111
2533,4077,2367,1507,3092,4189,2246,1824
1997,3264,2367,1447,2406,3690,2216,1620
1979,2874,1955,1477,2186,3673,1929,1462
1973,2814,1600,1043,1878,3223,1668,1105
831,1026,897,576,674,1004,852,479
200,262,393,419,248,449,461,301
183,234,284,310,139,270,403,222
94,159,194,206,146,239,461,138
95,138,278,212,111,126,332,115
78,129,205,115,108,82,119,76
5,41,107,31,72,62,54,18
37,40,63,19,59,44,53,9
1,13,29,18,23,12,46,4
1,8,9,13,18,10,63,4
2,2,159,8,49,1,12,3
13,131,33,26,77,90,19,25
35,149,145,86,104,150,79,51
217,312,270,196,216,525,270,194
767,711,222,438,734,1213,568,496
704,854,719,576,952,1582,855,478
1012,1504,866,826,1253,2327,1327,826
1347,2489,1097,1216,1955,3276,1909,1030
2438,5421,2300,1900,3566,6013,2917,1866
3286,6303,2686,1941,3734,7250,3226,2028
2406,3871,3976,1459,2718,4938,2766,1783
2028,2282,3582,999,2188,4231,2433,1586
958,1807,2970,1335,1951,3755,2530,1541
297,1513,2030,1302,2617,2693,2073,1225
222,712,1040,962,1479,1146,1022,530
268,339,639,377,342,548,635,728
194,224,319,350,228,324,463,204
123,198,287,334,175,179,596,159
75,169,418,209,115,145,495,188
48,138,294,169,190,106,160,85
60,112,304,84,83,48,77,49
26,116,291,126,86,36,88,33
18,86,226,93,22,3,95,32
35,123,328,117,23,1,96,37
2,11,113,54,5,8,35,11
21,100,78,58,65,143,30,30
45,163,161,137,131,315,75,68
205,317,244,220,372,947,189,226
730,523,102,405,1541,1399,406,654
583,933,291,524,1814,1656,645,556
1024,2004,876,1189,2841,2620,1209,916
1808,3516,1940,1777,2965,3783,1861,1409
3097,5475,3252,2250,4539,7381,2647,2261
3248,6490,4028,2263,4498,8123,2689,2280
2587,4189,3441,2182,3648,5634,2301,1973
2292,3776,3157,2041,3109,5124,1962,1796
2023,3625,2512,1995,2567,6492,1900,1652
1671,2651,2213,1632,1842,5528,1436,1252
717,937,1260,902,723,1482,760,545
293,375,710,557,360,518,428,338
231,308,421,372,321,406,442,289
160,255,536,441,257,302,522,284
111,250,623,321,243,281,394,261
92,186,305,222,182,148,170,173
29,192,305,166,230,56,94,169
108,183,293,142,105,52,79,117
16,119,190,95,90,0,61,70
8,60,127,75,6,4,64,31
2,33,84,59,23,17,27,15
21,60,78,22,51,54,8,16
31,92,103,56,84,76,66,39
69,137,125,110,141,331,68,53
305,352,310,345,410,694,233,193
671,1020,717,726,911,1469,677,602
1519,2255,1269,902,1905,2283,1524,1132
2075,4365,2123,1499,2987,4205,2459,1741
2421,4925,2798,1944,3627,5910,3304,1997
3053,6262,3862,2198,4680,6907,3615,2465
3200,7461,4385,2291,4848,7959,3696,2709
3638,7210,5010,1915,4903,7485,3390,2574
2283,4916,3907,1399,3398,5947,2968,1908
1284,2713,2541,1080,1734,3828,1855,1147
539,843,1128,672,494,983,962,535
255,354,603,419,243,346,482,405
198,254,418,344,220,252,327,366
232,449,402,433,198,202,631,406
278,453,804,388,262,124,526,326
151,522,760,378,268,77,241,368
64,265,576,235,249,29,278,206
65,257,448,215,219,33,201,145
75,240,471,185,126,72,171,164
38,153,348,163,33,9,167,119
68,79,313,118,42,21,53,52
19,23,127,64,20,14,25,30
12,11,84,59,21,48,22,27
19,37,47,46,56,65,33,43
38,36,60,100,145,114,99,80
112,117,74,238,267,331,239,162
336,545,290,784,928,1007,693,407
1032,2053,1185,1241,1658,2328,1489,885
2056,3581,2943,1675,2309,3364,2236,1437
1760,2947,3034,1858,2607,4308,2893,1700
1862,2971,4666,1509,2541,4479,2872,1870
1868,2512,4562,1495,2494,4193,2513,1936
961,1487,3644,1315,1539,2895,1951,1054
462,672,1596,750,595,1006,929,454
171,242,692,418,199,344,366,267
110,146,575,316,158,175,238,176
86,120,556,269,104,187,182,169
44,91,399,216,120,112,147,140
71,111,478,224,112,87,185,85
53,96,366,97,83,43,137,34
6,12,228,58,24,54,62,26
21,26,186,26,23,36,37,12
4,10,117,23,4,47,42,15
2,6,102,25,10,5,36,20
29,5,22,14,2,10,20,6
12,28,57,30,165,174,26,15
61,153,126,82,107,306,103,44
270,255,307,278,326,859,341,170
803,829,440,461,734,1823,741,304
726,893,535,552,1048,1562,1050,490
949,1386,805,1011,1612,2354,1774,837
1644,2516,1369,1621,2390,3671,2537,1376
3694,6673,3604,2254,4679,7543,3694,2297
4151,8848,5758,2208,4711,8176,3817,2384
2544,4152,3935,1746,3361,5489,2645,1924
2132,3223,2969,1857,3036,4871,2736,1953
1584,2551,2233,1729,2354,4733,2470,1496
934,1869,1459,1300,2025,3029,2001,1141
521,711,837,760,673,604,931,447
