"Albion Street North","Albion Street South","Briggate","Briggate at McDonalds","Commercial Street at Barratts","Commercial Street at Lush","Dortmund Square","Headrow"
3189,3858,3502,1809,2398,4864,3450,1496
1542,1587,2842,1294,1667,3263,2752,1261
1450,1572,2600,1359,1482,2384,2498,1179
1363,1353,1682,1431,1387,2200,1521,1100
1258,1443,1316,1017,1118,1658,1305,832
714,722,695,608,567,653,633,493
281,205,276,185,257,264,417,198
226,237,296,15,194,148,294,178
116,184,301,27,131,98,232,151
76,95,184,23,69,28,138,75
77,64,181,22,99,49,72,73
20,33,138,67,33,29,22,42
9,6,47,23,16,17,24,16
17,16,57,27,7,19,13,4
15,1,155,26,4,2,13,8
59,28,43,13,7,5,7,2
190,125,136,5,46,43,21,26
92,114,113,30,96,115,73,44
444,405,305,209,223,271,227,124
940,929,544,417,629,803,485,331
900,875,812,469,767,1048,520,350
1176,1314,649,863,1007,1363,937,576
1755,1622,1273,1401,1405,1989,1643,762
3837,4102,3027,1953,2160,3836,3013,1340
2883,3751,2762,1945,2563,4716,2343,1581
1504,1913,2419,1433,1750,3204,2495,1217
1319,1638,2526,1486,1622,2360,2312,1171
1196,1611,1752,1359,1545,2451,1878,1119
938,1167,1630,1094,1256,1954,1949,1043
717,770,1013,663,898,1117,884,576
314,334,582,390,308,400,529,310
202,297,454,69,220,142,305,224
125,176,370,63,170,94,240,161
110,138,393,42,135,53,207,169
86,100,255,33,64,48,91,91
57,47,246,86,61,41,88,37
70,48,224,75,48,47,55,48
31,23,194,54,20,6,47,35
36,25,257,83,52,19,43,34
43,25,90,40,6,3,19,10
51,99,90,9,43,53,19,28
105,100,142,44,134,121,66,48
439,397,285,115,213,268,219,136
858,876,600,429,601,806,473,340
733,833,795,635,759,1152,560,432
1261,1395,1029,1131,1252,1936,1238,720
1999,2118,1774,1675,1756,2756,2061,1036
3797,4392,3089,1968,2678,4622,3111,1593
3184,3811,4525,1840,2777,4896,3936,1632
1987,2805,2966,1816,2249,3563,2953,1415
1664,2115,2220,1858,2118,2940,1982,1240
1579,2093,2062,1707,1907,2675,1845,1185
1225,1522,1809,1376,1396,2037,1744,922
760,783,1163,719,590,879,878,490
337,322,515,417,311,378,626,301
233,364,464,62,241,150,456,265
138,198,475,33,204,116,255,268
154,266,680,40,255,135,265,210
133,155,750,66,202,118,187,214
149,154,596,197,139,76,109,150
95,98,495,201,91,93,112,85
112,98,378,170,53,26,70,48
75,64,385,126,25,10,47,39
32,18,236,85,37,25,18,34
35,48,75,4,16,18,20,17
28,63,166,30,70,71,92,19
106,105,167,99,72,119,77,50
341,327,340,303,244,370,251,161
668,796,704,639,627,1028,527,360
1323,1521,1208,1035,1256,2083,801,676
2243,2781,2282,1649,2140,3388,1551,1220
4222,5130,4686,1769,2818,4135,4119,1681
3838,4307,6166,1883,3798,5577,4021,2030
2982,3844,6413,1817,4037,5636,5001,2274
3108,3787,4969,2162,3873,5011,3150,2309
2028,2775,3701,1877,3012,3962,2604,1893
1145,1549,2209,1423,148,2341,1760,1134
652,712,999,808,473,772,869,547
275,263,464,271,287,313,591,411
203,298,557,70,216,141,342,298
199,342,514,101,229,122,322,286
225,300,668,97,205,117,304,272
292,262,804,110,235,123,232,239
216,211,662,315,187,126,131,217
193,172,608,312,167,73,155,199
183,207,531,222,124,39,144,133
241,240,597,254,124,42,92,82
103,87,407,191,37,18,60,67
18,22,149,19,10,5,17,31
18,36,91,19,26,34,24,28
44,27,90,70,70,65,65,79
40,51,95,71,84,60,25,45
93,127,14,179,123,157,164,106
517,485,361,657,424,553,484,337
1166,1343,1275,1128,1026,1571,1045,746
1836,1899,2112,1536,1592,2390,1450,1088
1533,1843,2104,1599,1884,2734,1385,1150
1644,1856,2379,1654,2045,2740,1486,1263
1503,1648,2973,1390,1733,2330,1900,1042
754,943,1434,1085,1168,1635,1124,777
386,321,597,515,359,497,629,343
129,110,257,234,151,169,230,193
98,110,201,142,98,113,209,157
73,91,152,26,86,38,138,115
52,95,149,22,44,23,74,92
69,68,143,17,85,31,73,99
28,23,145,76,47,39,42,64
17,20,134,39,61,60,28,16
0,8,69,24,9,7,14,11
5,9,69,27,1,0,17,16
2,16,114,20,26,23,7,9
47,21,59,19,2,1,21,14
175,99,114,4,66,63,27,28
124,195,133,55,120,141,91,43
415,389,296,190,312,296,173,218
883,882,615,496,535,669,456,436
806,784,488,638,847,967,726,423
1210,1027,452,1081,913,1349,2235,615
2574,1914,1162,1418,1227,2091,2754,888
4734,4113,3173,1879,2210,4225,3739,1534
3092,3227,3098,1838,2543,4505,2892,1523
1647,1675,2209,1513,1774,2855,2331,1214
1295,1517,2298,1284,1459,1990,2235,1125
1510,1766,1610,1506,1553,2183,1808,1109
1416,1525,1319,1194,1042,1614,1292,907
713,748,750,655,473,713,690,450
188,181,343,234,101,249,393,217
122,165,294,32,49,74,245,127
96,100,195,24,104,46,153,110
44,69,212,26,83,36,101,85
71,39,121,11,66,70,56,58
36,6,114,47,63,46,41,30
34,14,73,51,32,58,14,16
10,8,56,56,1,1,19,28
18,9,133,39,24,14,27,7
68,46,49,24,12,11,12,8
59,79,79,13,52,57,22,38
137,134,172,61,118,137,65,40
379,357,255,221,329,256,157,270
675,725,542,471,1080,693,319,365
570,644,111,396,735,968,884,373
1479,1358,540,1036,1051,1521,2428,738
2888,2198,1423,1529,1336,2361,2774,889
4289,4171,3155,1873,2367,4338,3551,1509
3133,3056,4049,1711,2358,4710,3863,1471
1439,1117,2831,1187,1465,2589,3541,1128
1316,1483,1550,1083,1474,1788,1592,1002
1273,1711,1345,1206,1508,1972,1551,1084
1132,1570,1311,911,1136,1331,1566,856
485,650,659,457,586,604,707,442
241,222,392,287,223,266,437,214
130,231,307,22,214,126,256,136
76,104,264,17,109,52,192,103
53,127,160,12,101,53,127,99
131,98,236,22,64,29,106,90
28,24,163,55,52,31,46,35
29,48,147,53,52,39,39,21
54,33,157,56,142,48,31,20
36,51,338,93,50,68,62,49
39,62,122,27,24,32,12,10
49,56,137,7,44,43,13,17
157,143,157,54,101,120,76,41
416,369,297,231,168,193,199,132
886,916,640,564,561,762,434,319
739,852,693,543,635,922,507,360
986,1113,893,964,1029,1526,840,609
1634,1685,1214,1334,1436,2145,1354,802
3075,3605,2757,1830,2602,3896,2536,1382
2832,3454,3235,1980,3175,4129,2610,1632
1948,2336,2641,1823,2747,3652,1954,1346
1641,1723,2217,1748,2040,2703,1578,1251
1323,1584,1844,1534,1678,2311,1982,1264
1002,1187,1503,1013,1318,1845,2150,942
654,694,789,544,526,722,726,410
276,295,419,262,246,281,445,245
214,334,424,63,200,108,360,172
91,138,239,31,107,66,212,145
116,131,10,10,75,35,171,105
50,62,180,27,80,73,77,48
23,27,204,52,42,25,18,34
20,31,93,44,11,6,18,15
16,15,52,41,10,2,16,4
20,11,84,33,13,18,12,7
15,15,39,14,2,0,10,8
47,117,40,4,75,71,62,20
110,163,215,52,160,183,86,46
386,368,294,230,239,230,152,140
672,788,592,484,1028,763,201,347
679,701,283,540,824,921,665,417
1135,1306,358,1046,1200,1638,2576,696
2660,2575,1459,1385,1546,2198,3484,867
5129,5833,4998,1549,2637,4021,5005,1590
3919,4033,5804,1441,2905,5402,4764,1623
1525,1654,3776,1235,1991,4012,4499,1282
1530,1780,3212,1411,1801,2339,2756,1149
1113,1321,1878,1487,1728,2397,2058,1350
805,965,1748,986,1321,2140,2015,1024
793,879,1152,687,718,1118,866,601
290,306,536,379,331,295,607,307
183,291,434,64,272,155,340,201
129,183,391,47,142,79,254,141
141,135,304,31,123,61,171,141
68,76,313,28,108,55,115,91
100,100,312,126,84,52,69,93
39,50,222,98,49,29,52,44
48,41,214,88,18,31,40,36
108,123,344,60,242,30,46,39
40,29,120,40,313,13,16,18
51,70,110,6,548,40,49,16
136,147,169,34,306,176,96,40
386,372,296,245,347,285,201,119
878,945,649,515,637,829,536,308
883,973,754,679,836,1138,587,439
1329,1561,1079,1022,1165,1752,996,627
1574,1833,1521,1427,1717,2205,1134,910
2778,3668,2581,1939,2823,3821,1737,1501
3099,3821,2910,2146,3028,4236,1839,1651
2379,2724,2460,1948,2395,3267,1967,1495
2165,2176,2433,1902,2380,2763,1780,1466
2326,2468,2363,1902,2241,2721,1924,1583
1859,1963,1789,1423,1575,2063,1611,1116
725,547,786,493,500,640,608,370
355,333,354,126,237,219,395,293
191,289,383,23,181,173,255,270
140,240,409,44,159,101,255,235
155,247,446,30,178,121,247,244
243,328,475,49,210,157,169,187
160,188,502,204,227,134,104,122
87,121,351,162,127,96,69,66
73,79,302,119,52,47,50,65
60,50,343,138,25,13,33,70
37,17,221,88,15,24,46,46
48,67,108,2,25,17,17,24
45,46,100,28,62,67,58,33
107,142,130,112,141,126,66,75
305,355,390,331,389,376,169,174
762,751,421,692,864,1072,468,474
1409,1776,1297,1192,1510,2365,986,928
2803,3937,1965,1567,2528,3004,1957,1413
4193,5501,4085,1871,3317,3687,3687,2042
3443,4515,7211,1573,3449,4068,4607,2369
3013,3495,6461,1619,4089,5126,4687,2476
2788,4155,5022,1841,4154,4335,3811,2544
1637,2676,3142,1786,2747,3298,2827,2300
964,1266,2407,1284,1668,2299,2215,1508
697,679,1309,1020,654,869,1008,657
300,385,654,373,342,307,654,438
205,303,511,66,184,116,341,350
170,289,390,53,115,98,265,267
251,422,688,65,161,87,312,347
271,326,643,61,228,128,228,255
200,245,768,301,139,103,133,178
236,281,783,302,237,114,189,129
171,154,568,249,103,71,138,113
198,206,672,225,140,31,111,108
100,98,353,132,44,11,49,46
30,15,222,12,9,6,24,23
25,27,123,29,23,22,16,28
31,36,93,80,23,33,42,69
57,42,11,112,58,71,19,66
139,128,43,280,115,151,121,117
502,450,452,820,441,659,578,428
1341,1385,1500,1358,1119,1655,1168,821
2046,2349,2561,1683,1750,2452,2256,1306
1789,2130,2569,1804,2014,2620,1779,1589
1909,2087,3260,1665,1969,2737,2393,1546
1563,1855,2232,1389,1670,2142,1641,1296
892,1099,1287,1112,1042,1334,1290,1021
402,322,541,640,366,394,659,484
210,175,297,410,148,194,299,303
116,139,91,81,95,113,188,176
88,149,130,14,65,47,165,129
69,96,158,13,95,49,104,109
79,68,163,29,54,38,93,141
65,69,207,20,50,49,79,111
95,91,240,155,94,70,100,171
46,40,143,103,14,12,61,47
55,69,136,75,12,6,59,63
21,45,186,64,78,27,28,15
41,25,87,17,4,3,11,30
74,110,84,2,35,58,30,19
158,183,195,63,155,197,62,45
429,425,299,240,318,304,148,182
922,1101,490,491,876,804,405,415
776,777,153,531,942,933,691,555
1377,1585,319,1138,1092,1638,2652,766
1960,2089,1363,1505,1659,2314,1741,1125
2981,4205,2671,2019,2976,4517,1953,2031
2877,4434,2803,2130,3114,4883,2623,2290
2250,2460,2304,1977,2346,3072,2136,1740
2092,2131,2010,1804,2054,2816,1933,1597
1795,2110,2163,1821,1761,2552,2170,1537
1764,2020,1719,1552,1374,1996,1465,1268
749,727,838,806,559,787,726,607
333,353,348,213,304,237,420,351
148,199,274,33,57,102,283,145
100,143,173,25,33,55,184,126
106,132,166,12,28,82,168,256
268,254,529,46,152,60,184,283
194,163,440,47,149,72,198,291
54,45,338,48,43,50,147,137
53,48,381,36,50,25,132,95
64,42,315,28,16,5,86,65
9,7,117,22,6,0,19,24
43,156,38,10,58,145,29,26
86,122,136,68,142,154,71,47
380,590,287,241,193,201,234,135
1065,1022,531,509,661,758,584,462
916,1032,730,553,776,1075,592,558
1127,1319,1008,1070,1218,1836,963,802
1518,1864,1287,1640,1608,2450,1357,1094
2746,4112,2116,2255,2891,4079,2186,2117
2956,4172,2245,2233,2789,4412,1992,1955
1940,2419,1979,1873,2138,2833,2028,1665
2031,2243,2132,1729,1972,2534,2033,1843
2156,2382,2317,1482,2077,2574,2124,1939
1811,2118,2112,1043,1482,2075,1648,1471
841,830,1003,536,545,778,881,644
275,321,422,354,281,210,488,344
120,206,335,46,181,116,356,219
131,384,323,22,192,94,229,186
185,246,593,21,153,74,275,206
258,303,698,19,138,75,259,218
181,200,588,274,166,113,292,277
65,93,454,199,77,27,122,164
78,97,324,162,25,13,107,123
99,100,398,165,53,39,79,57
15,20,125,39,6,6,17,13
106,142,59,9,161,88,19,36
99,122,199,55,207,129,92,58
438,429,292,248,311,200,123,186
981,955,643,540,958,818,223,403
968,1649,473,565,751,978,497,471
1304,1461,390,1098,1050,1524,2104,739
1825,2159,1361,1485,1499,2303,1816,1120
4252,5397,3781,1821,2752,4615,4074,1870
3221,3938,4204,1787,3035,5379,3303,2032
1719,1980,3957,1513,2140,3844,3770,1712
1981,2437,2622,1954,2243,2807,2592,1806
2356,2726,2568,1948,2151,2709,2246,1714
1796,2220,1902,1639,1434,2120,1693,1345
722,719,684,628,505,687,722,580
216,299,315,109,219,217,418,320
228,340,319,17,158,152,276,239
110,225,271,31,143,103,215,141
120,172,308,50,115,67,204,202
103,95,279,22,63,46,160,145
37,38,278,103,52,40,90,169
24,45,182,112,46,30,107,78
37,66,179,124,9,4,114,88
64,57,173,87,24,9,56,55
27,25,72,30,8,11,12,17
97,199,70,31,76,135,38,25
83,128,190,50,97,103,62,35
374,402,337,237,398,280,126,213
674,864,718,571,917,748,166,398
596,734,206,565,789,1001,632,457
1338,1469,619,1229,1289,1713,1470,783
1694,1794,1452,1560,1865,2469,1400,1136
2880,3763,2671,2107,2877,4612,2384,1836
2985,3635,2749,2079,3105,4714,2259,1979
2143,2464,2496,2043,2467,3123,1893,1732
2016,2146,2394,1931,2068,2862,2169,1742
1975,2531,2476,1912,2121,3045,2367,1724
1722,2073,2174,1592,1732,2333,1804,1346
836,879,1308,1011,778,1051,911,640
336,350,560,264,353,338,514,346
210,297,475,88,276,163,433,332
181,212,375,41,167,104,221,253
152,212,531,34,150,73,236,212
252,223,752,55,175,85,182,182
159,137,604,215,92,35,202,160
138,110,584,238,72,152,175,137
130,96,519,207,79,32,141,96
125,130,511,211,91,80,116,87
81,40,273,115,20,20,22,39
80,81,194,16,73,103,30,37
93,123,206,19,123,115,79,49
453,427,346,235,216,308,192,136
949,905,694,566,711,825,453,370
905,940,811,663,813,1139,547,543
1278,1425,1115,1123,1372,1873,928,817
1650,2017,1563,1611,1874,2596,1366,1174
3008,3491,2762,2131,2951,4581,2576,1879
3182,4055,3030,2167,3214,5035,2490,2129
2445,2848,3004,2039,2750,3717,2704,1921
2173,2766,3170,1969,2662,3438,2764,2014
2123,2767,2775,2112,2485,3126,2741,1931
1749,2132,2414,1617,1806,2455,1882,1491
836,852,1220,1027,744,986,1084,726
441,473,598,372,372,301,642,654
250,280,566,208,341,168,443,535
207,321,399,64,284,154,380,419
225,291,696,75,197,101,374,298
253,280,993,67,301,135,279,279
214,204,1009,332,202,88,200,316
141,137,739,315,143,77,226,222
163,131,540,292,139,50,126,154
184,188,421,244,55,34,86,120
90,96,273,103,109,33,31,44
82,26,127,13,147,11,19,28
235,77,98,33,228,62,62,40
348,110,201,110,333,151,53,66
436,329,364,295,456,456,79,162
956,919,884,765,841,1335,475,439
1818,2019,1493,1302,1812,2803,1062,919
3098,3208,2544,1876,2921,4090,1669,1549
3775,3998,3988,2241,4128,5184,2465,2325
4296,5071,5404,2219,4891,6219,3387,2744
4946,6134,6844,2052,6074,7551,4260,3272
5053,5961,7111,2227,5964,6773,4113,3474
4067,4871,5737,2159,4384,5237,3601,3122
2205,2477,3280,1865,2152,2892,2677,2029
910,850,1293,1149,623,966,1252,887
333,397,519,201,324,196,636,586
410,537,535,97,203,143,426,552
189,309,542,80,237,114,324,328
268,339,829,102,220,128,371,417
396,367,923,90,261,130,281,330
359,300,999,414,366,185,217,277
385,295,740,385,214,142,198,290
373,308,624,347,156,92,165,215
252,201,650,336,122,46,116,176
120,81,455,174,81,62,65,43
38,55,176,15,31,30,35,305
14,24,65,16,11,6,19,139
44,51,61,73,39,58,41,26
85,73,196,105,52,64,44,51
191,148,212,235,82,128,92,112
606,493,559,652,433,676,331,372
1371,1266,1243,1121,1117,1746,743,807
2096,1921,2139,1471,1766,2601,1190,1439
2375,2105,2629,1777,2247,2953,1558,1704
2315,2389,3197,1798,2491,3288,2064,1868
2226,2057,3972,1669,2133,2746,2255,1818
1590,1425,1921,1508,1346,2024,1574,1355
593,436,810,874,559,662,838,688
233,194,323,409,162,216,361,296
154,174,294,86,185,113,245,284
99,130,182,31,107,53,156,145
79,124,205,22,89,36,116,119
66,78,152,22,64,36,95,167
73,57,127,10,37,32,66,76
31,20,118,81,26,20,63,61
17,15,90,68,28,22,33,60
11,15,99,28,7,6,16,27
24,17,128,24,52,59,7,1
29,21,75,17,9,3,8,15
46,58,61,4,19,29,18,20
106,171,122,20,120,127,59,35
413,375,275,254,265,279,155,157
815,826,408,412,571,745,125,405
714,597,170,518,713,967,607,547
1445,1109,210,1047,1045,1513,2506,874
2960,2779,1396,1315,1332,2188,3843,1051
5615,6274,4886,1382,2508,3533,5025,2083
3557,3440,6522,1240,2506,4353,3456,2098
1932,1963,3310,1504,2249,3573,2710,1700
1905,2163,2188,1903,2056,2786,2251,1611
1945,2273,2130,1879,1906,2607,2207,1515
1811,2065,1977,1616,1466,2140,1722,1264
872,764,860,871,514,765,874,587
279,363,364,109,146,214,471,328
205,214,418,43,162,106,293,208
110,111,198,30,90,73,194,170
81,103,253,31,94,57,164,191
98,92,260,29,82,55,151,119
33,21,174,83,73,87,82,88
67,59,114,111,39,56,60,74
30,26,232,145,38,4,78,80
27,10,180,84,19,13,41,25
32,14,68,30,15,22,8,7
65,67,56,50,51,45,21,20
117,151,142,103,222,192,63,33
458,387,288,257,201,256,154,118
920,836,575,601,617,610,186,400
857,705,198,563,671,939,622,461
1356,1256,231,1004,1065,1675,2557,885
2809,2811,1493,1302,1321,2243,3706,1168
5694,6523,5112,1264,2538,3586,4947,2103
2987,2510,6925,1112,2754,4852,2776,2197
1556,1447,4063,1120,2131,3516,2430,1757
1690,1922,2920,1470,1747,2298,2187,1670
1956,2173,1486,1647,1635,2380,1955,1690
1443,2116,1505,1405,1521,2198,1406,1270
727,790,822,843,644,849,997,602
241,78,515,527,399,240,540,282
182,216,441,420,214,116,349,256
117,124,302,296,170,88,244,197
93,156,338,289,135,73,195,99
129,112,385,202,115,49,152,110
63,57,347,141,49,23,85,66
34,62,211,141,32,12,72,51
60,35,241,160,36,19,89,58
40,21,274,80,37,12,33,29
25,22,109,45,8,21,15,12
75,69,81,26,50,37,19,24
165,177,122,32,79,97,49,40
438,397,254,249,308,307,114,157
879,900,560,572,610,763,116,418
844,707,241,492,662,901,512,488
1317,1122,203,968,921,1402,2197,908
2672,2518,1390,1343,1188,1926,3288,1261
5486,6224,5205,1290,2325,3269,4991,1911
2990,2211,7287,1054,2972,4572,2541,2211
1610,968,4777,766,1950,3153,2096,1911
1990,2171,3029,1473,1844,2218,2197,1786
2041,2334,1551,1751,1936,2402,2023,1744
1620,1898,1453,1479,1509,2022,1392,1395
795,736,799,881,653,907,959,644
324,82,487,139,446,357,583,361
194,65,417,21,305,155,369,269
142,185,277,34,281,133,251,218
127,187,290,43,107,52,270,220
178,198,244,32,119,87,121,115
57,57,243,117,84,56,48,85
46,24,183,102,43,60,55,69
42,11,185,107,58,34,55,12
29,14,125,80,13,6,26,33
11,8,60,22,8,16,4,3
70,89,53,5,59,18,30,28
214,197,180,31,118,171,62,39
427,398,217,249,231,303,146,158
923,827,494,522,501,756,123,426
816,691,343,571,747,980,598,504
1454,1204,202,967,944,1396,2221,890
2688,2371,1274,1367,1322,2035,3567,1137
5691,5870,4913,1211,2432,3438,4963,2085
2613,2291,7149,1052,2775,4451,2307,2138
1629,1072,4722,915,1766,2957,2081,1824
1746,1883,2966,1349,1706,2144,1783,1662
1781,2092,1519,1685,1868,2439,1987,1604
1661,2026,1654,1422,1546,2137,1463,1360
834,914,1170,1077,745,1057,1014,773
449,450,463,295,443,314,604,467
243,298,300,56,353,193,379,261
162,150,326,52,181,100,287,266
143,171,523,70,170,124,304,365
159,149,527,50,186,103,203,368
209,79,462,262,146,91,165,449
93,57,362,216,92,47,113,221
96,68,387,232,44,26,121,136
70,72,465,149,70,47,107,29
17,13,133,51,18,6,29,12
144,118,99,6,49,45,33,34
106,125,260,21,125,93,82,50
429,390,341,225,221,316,182,179
765,757,578,520,596,647,134,433
862,733,358,542,748,1165,643,597
1776,1468,318,1071,1218,1788,2750,1122
3432,2849,1706,1438,1634,2227,3682,1471
6091,6701,5617,1143,2568,3449,4867,2169
2792,2306,8186,1006,2929,4636,2383,2431
2123,1856,5435,941,2219,3394,2154,2131
2134,2430,3244,1612,2085,2591,2067,2003
2189,2684,1936,1927,2449,2920,2295,2195
1643,2055,1906,1531,1834,2301,1631,1430
774,760,1182,1019,691,909,1104,786
465,515,403,178,433,311,653,473
260,316,475,99,347,224,505,355
200,262,501,49,303,205,347,304
210,309,845,135,251,197,361,310
271,257,842,76,281,138,281,209
255,225,730,292,173,99,224,183
192,166,629,338,120,54,148,233
206,222,505,295,147,119,197,219
185,140,361,190,72,26,109,80
33,28,382,146,62,6,55,56
51,46,175,14,47,30,35,31
43,55,227,14,76,46,38,29
156,138,149,125,105,118,57,75
360,413,332,316,269,354,111,167
791,710,356,628,704,1044,535,461
1894,1802,388,1247,1360,2161,2007,938
3938,4385,2945,1509,2276,3322,3402,1538
5562,7179,8289,956,2729,3545,3707,2246
3067,2442,13711,671,3733,5205,2427,2879
3191,3131,11998,1220,3952,5386,2951,3195
3287,4484,6844,2015,3893,4153,2964,2796
2601,3765,3691,2064,3431,3875,2926,2257
1528,2159,2361,1630,2003,2327,1675,1462
672,740,994,1078,579,763,1095,778
354,427,561,207,354,244,678,429
239,344,458,116,245,188,401,339
274,442,626,94,227,162,369,322
330,485,909,141,298,173,391,407
483,425,1045,148,375,187,375,343
478,505,1149,439,387,163,241,262
356,371,812,378,261,97,252,246
317,293,728,320,142,59,238,167
325,304,557,377,103,32,195,131
133,126,485,168,45,30,70,80
37,35,293,25,20,6,29,33
21,28,79,16,26,19,49,47
40,39,60,81,31,35,35,41
86,47,97,111,42,53,144,44
177,162,174,228,119,157,270,149
433,422,495,571,433,552,377,373
1106,1298,1146,1016,1144,1625,818,821
1592,1752,2000,1543,1904,2467,1114,1193
1915,1967,2300,1731,2232,2603,1397,1474
2021,2203,2829,1724,2575,2894,1623,1598
1988,2163,2495,1697,2234,2730,1590,1418
1323,1257,1797,1314,1400,1862,1238,1058
565,356,671,738,491,515,678,524
234,177,218,302,134,141,317,293
116,141,180,44,134,74,204,215
97,116,193,30,62,44,175,164
65,86,207,26,76,54,125,134
48,62,158,23,90,52,106,110
70,25,137,14,33,21,64,74
29,16,81,54,28,16,48,24
16,18,87,50,22,13,28,16
32,26,102,40,6,2,16,13
5,19,81,21,13,9,12,2
21,16,78,25,12,31,7,7
93,82,85,7,50,81,20,23
82,104,137,14,107,77,57,43
416,370,224,168,205,302,177,132
982,972,523,603,580,735,389,366
885,777,431,608,791,1068,490,504
1096,1196,745,959,1129,1662,928,765
1748,1794,993,1361,1533,2288,1491,1050
4610,5462,3856,1561,2590,4018,2646,1928
2537,2592,5511,1144,2597,4454,2067,1936
1758,1513,3461,1063,1844,2708,1801,1580
1676,1739,1893,1319,1637,2039,1821,1439
1950,2166,1743,1715,1791,2483,2129,1592
1947,2061,1419,1455,1375,1902,1772,1084
794,798,628,816,440,737,908,573
325,390,338,108,74,207,472,316
191,304,329,35,204,125,314,197
100,133,238,28,125,79,192,131
100,124,180,23,96,55,165,116
119,96,210,29,137,120,481,93
74,39,163,99,85,79,94,54
9,10,98,64,11,8,64,26
19,13,146,68,10,2,51,31
31,13,171,77,22,16,41,15
19,12,100,19,2,0,16,12
196,198,67,5,99,120,33,21
129,191,261,22,172,290,84,37
469,427,331,261,273,411,261,146
917,939,579,634,667,809,491,385
832,963,647,614,778,1197,605,433
1105,1300,909,1040,1139,1800,971,741
1587,1739,1340,1439,1640,2498,1456,1102
3071,3533,2326,1927,2631,4492,2234,1723
2978,3707,2265,2025,2685,4752,2008,1699
1906,2100,1897,1752,1979,2872,1723,1412
2402,2795,1744,1762,1706,2687,1705,1459
1881,2141,1767,1709,1671,2444,2000,1249
1690,1902,1537,1400,1243,1989,1490,1134
736,726,579,850,517,696,860,510
332,295,398,130,295,139,520,382
167,162,299,50,181,91,349,178
129,103,257,37,160,59,209,162
161,83,310,51,134,63,226,197
94,185,352,31,115,62,108,98
76,95,263,87,71,46,82,48
29,45,222,106,44,18,59,38
64,36,225,76,36,29,46,44
200,212,206,107,32,63,60,31
85,83,36,25,27,18,11,17
92,84,82,11,74,71,30,22
115,147,192,21,113,131,99,42
447,409,310,257,226,328,223,133
1089,997,562,606,548,789,501,408
987,927,626,444,644,1068,582,482
1295,1255,920,821,996,1616,899,757
2430,2193,1346,1435,1352,2154,1554,1101
4935,5662,3878,1693,2374,3946,2352,1767
2817,2928,6164,1308,2461,5232,2222,1809
2102,2071,4080,1205,1972,3054,1995,1691
2020,2195,2239,1787,1897,2678,1847,1600
2124,2409,2052,1889,1665,2650,1875,1601
2049,2164,1686,1491,1402,2155,1660,1249
916,862,743,941,586,859,805,542
298,160,530,84,345,268,429,404
199,124,295,20,217,171,268,192
123,56,245,16,151,150,174,137
172,156,281,29,79,75,184,155
51,23,281,24,113,86,100,63
51,190,241,88,76,67,34,28
7,13,152,77,33,8,43,38
24,30,138,71,15,8,40,35
40,18,127,52,24,18,39,5
66,24,57,21,2,0,13,11
85,153,54,3,54,52,26,36
87,173,195,23,126,135,110,48
421,382,282,229,238,302,225,136
614,703,601,486,515,647,209,372
632,510,277,512,598,863,678,429
1759,1188,393,918,952,1510,1406,630
2338,1999,1395,1311,1218,2036,1666,860
4382,5701,4196,1382,2173,3009,2117,1614
2448,2917,5236,1492,2184,3822,1877,1593
1674,2207,3666,1366,1717,1878,1465,1266
1619,1916,2858,1275,1402,2014,1646,1176
1265,1895,1958,998,1623,2066,1746,1183
1100,1836,1858,867,1171,1775,1485,883
604,686,1210,756,567,739,790,424
192,165,519,587,280,216,437,292
180,118,403,342,155,126,315,201
111,98,364,123,144,96,225,126
82,94,452,54,102,60,201,153
95,22,530,32,154,123,102,97
63,109,318,96,55,35,108,54
74,158,252,130,28,11,65,48
34,34,298,141,31,10,72,58
27,16,321,96,46,20,74,48
63,79,192,27,34,52,14,18
70,92,126,9,51,67,40,22
214,269,203,17,200,141,65,47
388,358,274,128,197,312,270,111
913,846,564,583,523,533,587,336
879,691,404,573,794,1089,656,429
1913,1289,430,993,1116,1729,1745,718
3096,2541,1639,1537,1593,2443,2102,1053
3062,3977,2790,2125,2958,4400,2932,1671
2232,2478,6714,1288,2612,5499,2509,1992
2164,2239,5044,1574,2336,3849,2304,1780
2096,2535,3130,1733,2159,2922,2373,1711
2332,2585,2558,2041,2318,3162,2506,1765
1853,2070,2175,1773,1684,2772,1952,1499
901,956,1135,1229,728,1223,1316,896
501,670,884,322,595,442,878,735
521,509,839,260,481,361,799,783
424,510,849,147,338,295,670,540
313,431,899,145,333,243,525,584
325,248,870,97,270,221,301,305
161,143,770,236,212,132,201,159
117,103,564,257,95,71,141,137
158,117,432,231,65,81,113,103
95,69,399,179,45,34,84,67
24,21,233,75,15,6,40,30
87,64,136,9,17,16,27,22
52,43,200,13,59,56,74,33
94,81,186,105,69,93,89,47
346,367,351,371,277,405,262,141
658,830,697,643,798,1238,490,367
1497,1908,1127,1140,1421,2356,923,663
2432,3426,2433,1383,2563,3556,1416,1082
3247,4653,3521,1738,3885,4619,2091,1704
3989,5981,5660,1709,4457,6287,3234,2450
4055,5728,6550,1662,4529,6396,3154,2065
3838,5464,6538,1628,4468,6318,3312,2472
2890,4249,4989,1568,3242,4840,3024,2377
1683,2420,2647,1362,1663,2542,2076,1343
690,731,1015,861,565,690,981,624
280,338,482,76,249,218,443,311
